AW.UN,"A&W Revenue Rylty Un"
RIT,"1st Asset CdnREIT Un"
RWC,"1st AstMSCI CdaLR Un"
RWE,"1stAst MSCI EurLR Un"
RWE.B,"1stAst EurLR Unhg Un"
RWX,"1st AstIntlLowRskWgt"
RWX.B,"1st AstIntlLwRskUnHg"
RWU,"1st Ast MSCI USA Un"
RWU.B,"1stAstMSCI USA Unheg"
RWW,"1st AstMSCI World Un"
RWW.B,"1st AstMSCI WrldUnhg"
RBP.UN,"June2021 Invst CL T "
RCO.UN,"Middlefld Can-Glb Un"
REIT,"PowerShr REIT IncmCA"
RRX,"Raging River Expl"
RAV.UN,"Ravensource Fund Un"
RLB,"RBC 1-5Yr LadCdn Bnd"
RBO,"RBC 1-5Yr LddCrp Bnd"
RMBO,"RBC 6-10Y CdnCorpBnd"
RBDI,"RBC BluBayGlbDvrCA-H"
RBNK,"RBC CdbBnk Yld Indx"
RPF,"RBC Cdn Pref CA Un"
RPSB,"RBC PH&N ST CA Bond"
RCD,"RBC QuantCdnDiv Lead"
RCE,"RBC Quant CdnEqLeadr"
RIDH,"RBC Qnt EAFE DivLead"
RID,"RBC QuantEAFE Div Un"
RID.U,"RBC QuantEAFE Div US"
RIEH,"RBC QntEAFE EQ CAHeg"
RIE,"RBC Quant EAFE Eqty"
RIE.U,"RBC QuantEAFE EqtyUS"
RXD,"RBC Quant EmrgMktDiv"
RXD.U,"RBC Quant EmrgMkt US"
RXE,"RBC QntEmrgMktEqLdr"
RXE.U,"RBC QntEmrMktEqLdrUS"
RPDH,"RBC Quant EUDivLdHeg"
RPD,"RBC Quant EU DivLdCA"
RPD.U,"RBC Quant EU DivLdUS"
RIG,"RBC QUANT GlbInfraCA"
RIG.U,"RBC QUANT GlbInfraUS"
RGRE,"RBC Quant GlbRlEstCA"
RGRE.U,"RBC Quant GlbRlEstUS"
RUDH,"RBC Quant US DivLead"
RUD,"RBC QntUS DivLead Un"
RUD.U,"RBC QntUS DivLeadUSD"
RUEH,"RBC QuantUSEqty(C-H)"
RUE,"RBC Quant USEqLdr Un"
RUE.U,"RBC Quant USEqLdr US"
RUSB,"RBC ST US CorpBndCAD"
RUSB.U,"RBC ST US CorpBndUSF"
RLD,"RBC Stratgc GlbDivLd"
RLE,"RBC Stratgc GlbEqLdr"
RQE,"RBC Target 17 CrpBnd"
RQF,"RBC Target 18 CrpBnd"
RQG,"RBC Target 19 CrpBnd"
RQH,"RBC Target 20 CrpBnd"
RQI,"RBC Target 21CorpBnd"
RQJ,"RBC Target22 CorpBnd"
RQK,"RBC Target23 CorpBnd"
RAI.UN,"Real AstIncmGro A Un"
REAL,"Real Matters Inc."
R,"Red Eagle Mng Corp J"
R.WT,"Red Eagle Mng J Wt"
RDK,"Redhawk Resources J"
RKN,"Redknee Solutn J SV"
RDL,"Redline Commun Grp J"
IDR.UN,"REIT INDEXPLUS Tr Un"
RET,"Reitman's Canada"
RET.A,"Reitman's Cda A NV"
RFP,"Resolute Forest Prod"
QSR,"Restaurant Brnd Intl"
QSP.UN,"Restaurant BrndLP Un"
RVX,"Resverlogix Corp. J"
RVX.WT,"Resverlogix J Wt"
RPI.UN,"Richards Pckng Un"
RCH,"Richelieu Hardware"
RIC,"Richmont Mines"
RIB.UN,"Ridgewood Cdn Bnd Un"
RN,"Rio Novo Gold Ord J"
REI.UN,"RioCan Rl Est Tr Un"
RBA,"Ritchie Bros Auction"
RMP,"RMP Energy Inc. J"
RME,"Rocky Mtn Dealership"
RCI.A,"Rogers Comm Cl A"
RCI.B,"Rogers Comm Cl B NV"
RSI,"Rogers Sugar Inc."
RSI.DB.D,"Rogers Sugar 5.75Db5"
RSI.DB.E,"Rogers Sugar 5% Db 6"
ROXG,"Roxgold Inc. J"
RY,"Royal Bank of Canada"
RY.PR.A,"Royal Bank Pr Ser AA"
RY.PR.C,"Royal Bank Pr Ser AC"
RY.PR.D,"Royal Bank Pr Ser AD"
RY.PR.E,"Royal Bank Pr Ser AE"
RY.PR.F,"Royal Bank Pr Ser AF"
RY.PR.G,"Royal Bank Pr Ser AG"
RY.PR.H,"Royal Bank Pr Ser BB"
RY.PR.I,"Royal Bank Pr Ser AJ"
RY.PR.J,"Royal Bank Pr Ser BD"
RY.PR.K,"Royal Bank Pr Ser AK"
RY.PR.L,"Royal Bank Pr Ser AL"
RY.PR.M,"Royal Bank Pr Ser BF"
RY.PR.N,"Royal Bank Pr Ser BH"
RY.PR.O,"Royal Bank Pr Ser BI"
RY.PR.P,"Royal Bank Pr Ser BJ"
RY.PR.Q,"Royal Bank Pr Ser BK"
RY.PR.R,"Royal Bank Pr Ser BM"
RY.PR.W,"Royal Bank Pr Ser W"
RY.PR.Z,"Royal Bank Pr Ser AZ"
MNT,"Ry Cdn Mint-Gold ETR"
MNT.U,"Ry Cdn Mint-Gold USF"
MNS,"Ry Cdn Mint-Sil ETR"
MNS.U,"Ry Cdn Mint-Sil USF"
RNX,"Royal Nickel Corp. J"
RTG,"RTG Mining Inc Ord J"
RMX,"Rubicon Minerals J"
RUS,"Russel Metals Inc."
RAY.A,"Stingray Digit SV"
RAY.B,"Stingray Dgt Vary SV"
RNW,"TransAlta Renewable"
STPL,"BMO Glbl Consmr Stpl"
SBC,"Brompton Splt Banc A"
SBC.PR.A,"Brompton Splt Bnc Pr"
SCW.UN,"Canso Slct Oppor Un"
SID,"1st Ast US TrndLeadr"
SVR,"iShr Sil Bul Hdgd Un"
SVR.C,"iShr Sil Bul Nn-Hdgd"
SFD,"NXT Energy Solutn J"
SFD.RT,"NXT EnergySoltn Rt J"
SBND,"Purpose SH DurTacBnd"
SBN,"S Split Corp Cl A"
SBN.PR.A,"S Split Corp. Pr"
SBB,"Sabina Gld & Slvr J"
SSL,"Sandstorm Gold Ltd."
SSL.WT,"Sandstorm Gold Wt "
SAP,"Saputo Inc."
SIS,"Savaria Corp. J"
SCY,"Scandium Int'l Mng J"
SIN.UN,"SCITI Trust Trans Un"
SEA,"Seabridge Gold Inc J"
SCU,"Second Cup Ltd. The"
SES,"Secure Energy Serv J"
SMF,"SEMAFO Inc. J"
FRL.UN,"Sr Secured FltgLn Un"
PME,"Sentry Prime Metal A"
SEC,"Senvest Capital Inc"
SBI,"Serabi Gld plc Ord J"
SEN,"Serinus Energy J"
VII,"Seven Generations A"
SJR.B,"Shaw Comm Cl B NV"
SJR.PR.A,"Shaw Comm Cl 2 Pr A"
SJR.PR.B,"Shaw Comm Cl 2 Pr B "
SCL,"ShawCor Ltd."
S,"Sherritt Int'l Corp"
SHOP,"Shopify Inc A SV"
SGF,"Shore Gold Inc. J"
SIA,"Sienna Senior Living"
SIA.DB,"Sienna Sr Living Deb"
SMT,"Sierra Metals Inc. J"
SW,"Sierra Wireless"
SBR,"Silver Bear ResJ Ord"
SVB,"Silver Bull Res J"
SBT,"Silver Bln ETFCurHeg"
SBT.B,"Silver BullnC$NCurHG"
SBT.U,"Silver Bulln US$NCur"
SVM,"Silvercorp Metals J"
SRV.UN,"SIR Royalty Incm Un"
SKG.UN,"Skylon Growth Tr Un"
SOT.UN,"Slate Office REIT Un"
SRT.U,"Slate Retail Cl U Un"
SRT.UN,"Slate Retail CAD Un"
ZZZ,"Sleep Cntry Cda Hldg"
SRU.DB.A,"Smart REIT 5.45% Deb"
SRU.DB.B,"Smart REIT 5.50% Deb"
SRU.UN,"Smart REIT Tr VV Un"
SNC,"SNC - Lavalin Group"
SOLG,"SolGold plc J Ord"
SLR,"Solitario Zinc J"
SUM,"Solium Capital Inc J"
SHLE,"Source Energy Serv J"
SGQ,"SouthGobi Res Ltd J"
SPE,"Spartan Engy Corp J"
SEV,"Spectra7 Microsys J"
EDT,"Spectral Medical Inc"
SHA,"Sphere AsiaSustYldUn"
SHC,"Sphere FTSE CdaUnheg"
SHZ,"Sphere FTSEmrgMktSus"
SHE,"Spher EuroSustYldUn"
SHU,"Sphere US Sustn Heg"
TOY,"Spin Master Corp SV"
NRGY.UN,"Sprott Engy OppTr Un"
SII,"Sprott Inc."
PHYS.U,"Sprott Phy Gld Un US"
SPPP.U,"Sprott PhyPlat US Un"
PSLV.U,"Sprott Phy Silver US"
SRHI,"Sprott Res Holdgs "
SRHI.WT,"Sprott Res Holdgs Wt"
SSRM,"SSR Mining Inc."
SAU,"St. Augustine Gld J"
STN,"Stantec Inc."
SAM,"Starcore Intl Mine J"
SJ,"Stella-Jones Inc."
STEP,"STEP Energy Serv J"
RAY.A,"Stingray Digit SV"
RAY.B,"Stingray Dgt Vary SV"
SRX,"Storm Res Ltd. J"
SWY,"Stornoway Diamond J"
SWY.DB.U,"Stornoway Dia USDb J"
SDY,"Strad Energy Serv J"
SCB,"Street Capital Group"
SQP,"Strongco Corporation"
SOX,"Stuart Olson Inc."
SOX.DB.A,"Stuart Olsn 12/19 Db"
STB,"Student Transport"
STB.DB.A,"Student Trans 5.25Db"
STB.DB.C,"Student Trans 6.25Db"
SMC,"Sulliden Mng Cap J"
SMU.UN,"Summit Ind REIT Un J"
SLF,"Sun Life Fin Inc."
SLF.PR.A,"Sun Life Fin Pr A"
SLF.PR.B,"Sun Life Fin Ser2 Pr"
SLF.PR.C,"Sun Life Fin Ser3 Pr"
SLF.PR.D,"Sun Life Fin Ser4 Pr"
SLF.PR.E,"Sun Life Fin Ser5 Pr"
SLF.PR.G,"Sun Life Fin Sr8R Pr"
SLF.PR.H,"Sun Life Fin 10R Pr"
SLF.PR.I,"Sun Life Fin 12R Pr"
SLF.PR.J,"Sun Life Fin 9QR Pr"
SLF.PR.K,"Sun Life Fin 11QR Pr"
SU,"Suncor Energy Inc."
SOY,"SunOpta, Inc."
SWH,"Sunwah Int'l Ltd."
SPB,"Superior Plus Corp."
SPB.DB.H,"Superior+ 6/30/19 Db"
SXP,"Supremex Inc."
SGY,"Surge Energy Inc. J"
SSF.UN,"Symphony FltgLoan Un"
SXI,"Synex Internt'l J"
TSGI,"Stars Group Inc. J"
TIME,"EvolveActShDurBndHeg"
TIME.B,"EvolveActShDurBndUnh"
TXF,"1stAstTech Giants Un"
TXF.B,"1stAstTechGiant UnHG"
TPX.A,"MolsonCoors Cda A LV"
TPX.B,"MolsonCoors Cda B NV"
TLV,"PowrShr LowVltlty Un"
TOY,"Spin Master Corp SV"
TAO,"TAG Oil Ltd. J"
TAO.WT,"TAG Oil Ltd. J Wt"
THO,"Tahoe Resources J"
TBL,"Taiga Building Prod"
TBL.NT,"Taiga Building Nt"
TLO,"Talon Metals Corp. J"
TVE,"Tamarack Vall Engy J"
TNX,"Tanzanian Royalty  J"
TKO,"Taseko Mines Ltd."
TOF.UN,"Taylor NthAmerOpp Un"
TDB,"TD Cdn Aggregate Bnd"
THE,"TD Int'l Eqty CA Heg"
TPE,"TD Int'l Eqty Idx Un"
THU,"TD S&P500 CAD HegIdx"
TPU,"TD S&P 500 Index Un"
TTP,"TD S&P/TSX CapCompo"
XTD,"TDb Split Cl A"
XTD.PR.A,"TDb Split Prior Eqty"
TLB,"TearLab Corp. J"
HTA,"Tech AchievGrowIncmA"
HTA.U,"Tech AchievGrow USF"
TLF.UN,"Tech Leaders Incm Un"
TECK.A,"Teck Res Cl A MV"
TECK.B,"Teck Res Cl B SV"
TCS,"TECSYS Inc. J"
TEL,"Tellza Commun Inc. J"
T,"TELUS Corporation"
TMB,"Tembec Inc."
TPH,"Temple Hotels Inc."
TPH.DB.E,"Temple Hotl 7.25% Db"
TPH.DB.F,"Temple Hotels 7% Deb"
TPK,"Ten Peaks Coffee "
TGO,"TeraGo Inc."
TGZ,"Teranga Gold Corp. J"
TVK,"TerraVest Capital"
TVK.DB,"TerraVest Cap 7% Deb"
TPL,"Tethys Petroleum J"
TFII,"TFI International "
EML.PR.A,"Empire Life Ins Pr 1"
ITX,"Intertain Grp Exch J"
ITX.DB,"Intertain Grp 5%Db J"
NWC,"NW Company VarV&ComV"
TSGI,"Stars Group Inc. J"
TH,"Theratechnologies"
TRI,"Thomson Reuters Corp"
TRI.PR.B,"Thomson Reuter Pr II"
TF,"Timbercreek Fin Corp"
TF.DB,"Timbercrk Fin 6.35Db"
TF.DB.A,"Timbercrk Fin 5.4 Db"
TF.DB.B,"Timbercrk Fin 5.45Db"
TF.DB.C,"Timbercrk Fin 5.3 Db"
TGF.UN,"Timbercreek Globe Un"
TMD,"Titan Medical Inc. J"
TMD.WT.C,"Titan Med Mar18 Wt J"
TMD.WT.F,"Titan Medical F Wt J"
TMD.WT.G,"Titan Medical G Wt J"
TMD.WT.H,"Titan Medical H Wt J"
TMD.WT.I,"Titan Medical I Wt J"
TI,"Titan Mining Corp J"
TMR,"TMAC Resources Inc J"
X,"TMX Group Limited"
TCT.UN,"Top 10 Cdn Fin Tr Un"
TXT.PR.A,"Top 10 Split Tr Pr"
TXT.UN,"Top 10 Split Tr Un"
TTE.UN,"Top 20 Europe Div Un"
TUT.UN,"Top 20 U.S. Div A Un"
TOG,"TORC Oil & Gas Ltd."
TXG,"Torex Gold Res J"
TIH,"Toromont Industries"
TD,"T.D. Bank"
TD.PF.A,"T.D. Bank Ser 1 Pr"
TD.PF.B,"T.D. Bank Ser 3 Pr"
TD.PF.C,"T.D. Bank Ser 5 Pr"
TD.PF.D,"T.D. Bank Ser 7 Pr"
TD.PF.E,"T.D. Bank Ser 9 Pr"
TD.PF.F,"T.D. Bank Ser 11 Pr"
TD.PF.G,"T.D. Bank Ser 12 Pr"
TD.PF.H,"T.D. Bank Ser 14 Pr"
TD.PF.I,"T.D. Bank Ser 16 Pr"
TD.PR.S,"T.D. Bank Ser S Pr "
TD.PR.T,"T.D. Bank Ser T Pr"
TD.PR.Y,"T.D. Bank Ser Y Pr "
TD.PR.Z,"T.D. Bank Ser Z Pr"
TS.B,"Torstar Cl B NV"
TEI,"Toscana Energy J"
TEI.DB,"Toscana Energy Deb J"
TOT,"Total Engy Serv Inc."
TXP,"Touchstone Expl Inc."
TOU,"Tourmaline Oil Corp."
TA,"TransAlta Corp."
TA.PR.D,"TransAlta Ser A Pr"
TA.PR.E,"TransAlta Ser B Pr"
TA.PR.F,"TransAlta Ser C Pr"
TA.PR.H,"TransAlta Ser E Pr "
TA.PR.J,"TransAlta Ser G Pr"
RNW,"TransAlta Renewable"
TRZ,"Transat A.T. V & VV"
TNP,"TransAtlantic Pete J"
TRP,"TransCan Corporation"
TRP.PR.A,"TransCan Corp Pr 1"
TRP.PR.B,"TransCan Corp Pr 3 "
TRP.PR.C,"TransCan Corp Pr 5"
TRP.PR.D,"TransCan Corp Pr 7"
TRP.PR.E,"TransCan Corp Pr 9"
TRP.PR.F,"TransCan Corp Pr 2"
TRP.PR.G,"TransCan Corp Pr 11"
TRP.PR.H,"TransCan Corp Pr 4"
TRP.PR.I,"TransCan Corp Pr 6"
TRP.PR.J,"TransCan Corp Pr 13"
TRP.PR.K,"TransCan Corp Pr 15"
TCL.A,"Transcontinentl A SV"
TCL.B,"Transcontinentl B MV"
TGL,"TransGlobe Energy J"
TML,"Treasury Metals J"
TSL,"Tree Island Steel"
TV,"Trevali Mining J"
TZZ,"Trez Cap Mtg Invst A"
TZS,"Trez CapSnrMtg Inv A"
TCW,"Trican Well Service"
TCN,"Tricon Capital Group"
TCN.DB.A,"Tricon Cap 5.6% Deb"
TCN.DB.U,"Tricon Cap 5.75Db US"
TRIL,"Trillium Therpeutc J"
TRL,"Trilogy Intl PartnrJ"
TRL.WT,"Trilogy Int'l Wt J"
TMQ,"Trilogy Metals Inc J"
TMI,"TriMetals Mining J"
TMI.B,"TriMetals Mng B NV J"
TDG,"Trinidad Drilling"
TSU,"Trisura Group J"
TNT.UN,"True NthCommercl JUn"
TOS,"TSO3 Inc. J"
TC,"Tucows Inc."
TRQ,"Turquoise Hill Res "
TVA.B,"TVA Group Inc. B NV"
TWC,"TWC Enterprises Ltd."
USA,"Americas Silver J"
UDA.UN,"Caldwell US Div Un"
UTE.UN,"Cdn Util & Tel FndUn"
UFS,"Domtar Corporation"
UCD.UN,"1stAst MornUS Consmr"
UXM,"1stAstUS Div50 Un"
UXM.B,"1stAstUS Dv50 UnhgUn"
USB,"PwrShr LddrRtUS0-5Yr"
USB.U,"PwrShr LddrRtO-5YrUS"
ULV.C,"PwrShr500 LowVol CA"
ULV.F,"PwrShr500 LowVolCAHg"
ULV.U,"PwrShr500 LowVol USF"
PUB.UN,"US Bnk Incm&Gro T Un"
USF.UN,"US Financl Incm A Un"
GOGO,"US GLB GOLD&PrecMetl"
USH.UN,"US Housing Recovr Un"
UWE,"U3O8 Corp. J"
UEX,"UEX Corporation J"
UNS,"Uni-Select Inc."
UNG.PR.C,"Union Gas 5 1/2% Pr"
UNG.PR.D,"Union Gas 6% B Pr"
UNC,"United Corporations"
UNC.PR.A,"United Corp 1st Pr"
UNC.PR.B,"United Corp Pr 59"
UNC.PR.C,"United Corp Pr 63"
URE,"Ur-Energy Inc. J"
U,"Uranium Participate"
URB,"Urbana Corporation"
URB.A,"Urbana Corp. Cl A NV"
UR,"UrtheCast Corp. J"
HUL,"US Eqty+ Incm A Un"
HUL.U,"US Eqty+ Incm US Un"
FTU,"US Financial 15 Cl A"
FTU.PR.B,"US Financial15 Pr 12"
UTC.C,"Utility Corp Cl 'C'"
UMI,"WisdomTreeUS MdDivHg"
UMI.B,"WisdomTreeUS DivNnHg"
VNP,"5N Plus Inc."
VNP.DB,"5N Plus Inc 5.75% Db"
VXM,"1stAsst MrnIntlValUn"
VXM.B,"1stAst IntlValUnhgUn"
VIP.UN,"LOGiQ VIP Incm Un"
VII,"Seven Generations A"
VRX,"Valeant Pharm Int'l"
VNR,"Valener Inc."
VNR.PR.A,"Valener Inc. Sr A Pr"
VLE,"Valeura Energy Inc J"
VAB,"Vanguard Cdn Agr Bnd"
VCB,"Vanguard Cdn CorpBnd"
VGV,"Vanguard CdnGvt Bond"
VLB,"Vangrd CdnLT GvtBond"
VSB,"Vanguard Cdn S-T Bnd"
VSC,"Vanguard S-T CrpBond"
VSG,"Vangrd CdnST GvtBond"
VCN,"Vanguard CdaAllCapUn"
VCE,"Vanguard FTSE CdaIdx"
VRE,"Vanguard FTSECdnREIT"
VDY,"Vanguard FTSE DivYld"
VIU,"Vanguard exNA Idx Un"
VI,"Vanguard exNA CA-Heg"
VDU,"Vangrd FTSE Dev exUS"
VEF,"Vangrd Dev US CA-heg"
VA,"Vanguard Dev AsiaPac"
VAH,"Vanguard FTSEDevAsia"
VE,"Vanguard FTSE Dev EU"
VEH,"Vanguard FTSE DevEU"
VEE,"Vanguard FTSEEmrgMkt"
VXC,"Vanguard FTSEGlobeCA"
VBG,"Vanguard GlbxUS Aggr"
VLQ,"Vanguard GlbLiqFactr"
VVO,"Vanguard GlbMinVoltl"
VMO,"Vanguard GlbMomntFac"
VVL,"Vanguard GlbValFactr"
VFV,"Vanguard S&P500 Indx"
VSP,"Vanguard S&P500 C-Hg"
VBU,"Vanguard USAggre Bnd"
VGG,"Vanguard US DivAppr"
VGH,"Vanguard USDivCad-hg"
VUN,"Vanguard US MktIdxUn"
VUS,"Vanguard US TotMktUn"
VBV,"VBI Vaccines Inc. J"
VCM,"Vecima Networks Inc."
VLN,"Velan Inc. SV"
NPK,"Verde Agritech Plc J"
VET,"Vermilion Energy Inc"
VB,"VersaBank J"
VB.PR.A,"VersaBank Pr 1 J"
VB.PR.B,"VersaBank Pr 3 J"
VFF,"Village Farms Int'l"
VGZ,"Vista Gold Corp"
IFL.UN,"Voya DivrFltgLoan Un"
ISL.U,"Voya FltgRt Sr US Un"
ISL.UN,"Voya FltgRte Sr A Un"
WEED,"Canopy Grwth Corp J"
WXM,"1stAsst MornMomnt Un"
WN,"Weston George"
WN.PR.A,"Weston George 1 Pr"
WN.PR.C,"Weston George III Pr"
WN.PR.D,"Weston George IV Pr"
WN.PR.E,"Weston George V Pr"
WJX,"Wajax Corporation"
WFC,"Wall Financial Corp"
WM,"Wallbridge Mng Co J"
WCN,"Waste Connections"
WG,"Wellgreen Platinum J"
WDO,"Wesdome Gold Mines"
WFT,"West Fraser Timber"
W.PR.H,"Westcoast Engy 5.50%"
W.PR.J,"Westcoast Engy 5.60%"
W.PR.K,"Westcoast Engy Pr 10"
W.PR.M,"Westcoast Engy Pr 12"
WRN,"Wstrn Copper & Gld J"
WRG,"Western Energy Serv"
WEF,"Western Forest Prod"
WRX,"Western Resources J"
WEQ,"WesternOne Inc."
WEQ.DB,"WesternOne 6.25% Deb"
WJA,"WestJet Airline VV&V"
WPRT,"Westport Fuel Sys"
WTE,"Westshore Terminals"
WPM,"Wheaton Precious Mtl"
WCP,"Whitecap Resources J"
WCM.A,"Wilmington Cap A NV"
WCM.B,"Wilmington Cap B"
WPK,"Winpak Limited"
DGRC,"WisdomTreeCA QualDiv"
EMV.B,"WisdomTreeEmrgMktDiv"
EHE,"WisdomTree EU HEG Eq"
EHE.B,"WisdomTreeEU Eq N-Hg"
IQD,"WisdomTreeIntlDivHeg"
IQD.B,"WisdomTreeIntlDvNN-H"
DQI,"Wisdom3 IntlDivVarHg"
HID,"WisdomTree USHiDvHeg"
HID.B,"WisdomTreeUSHiDvNNHG"
UMI,"WisdomTreeUS MdDivHg"
UMI.B,"WisdomTreeUS DivNnHg"
DGR,"WisdomTree USDivHegd"
DGR.B,"WisdomTree USDvNN-HG"
DQD,"Wisdom3 USDivVaryHeg"
CAGG,"WisdomTreeCA BndNN-H"
CAGS,"WisdomTreeCA STBndNH"
WFS,"World Fin Split Cl A"
WFS.PR.A,"World Fin Split Pr"
WIR.U,"WPT Industrl REIT US"
WSP,"WSP Global Inc."
XCT,"exactEarth Ltd. J"
XTC,"Exco Technologies"
XXM,"1stAstMrnStrUSVal Un"
XXM.B,"1stAst MrnUS ValUnhg"
XAU,"GoldMoney Inc."
XCB,"iShares Cdn Corp Bnd"
XGB,"iShares Cdn Govt Bnd"
XCG,"iShares Cdn Growth"
XHB,"iShare Cdn HYBrd Bnd"
XRB,"iShare Cdn RlRet Bnd"
XDV,"iShares Cdn Slct Div"
XCV,"iShares Cdn Value Un"
XCH,"iShares China Index"
XSC,"iShr Consv ShStgyFxd"
XSE,"iShr Consv Stgy Incm"
XLB,"iShr CoreCdnLT BndUn"
XSB,"iShre Cdn Sh Trm Bnd"
XSH,"iShr CoreCdnShMplBnd"
XBB,"iShr Cdn Univers Bnd"
XAW,"iShr CoreMSCI AC Wex"
XDIV,"iShare CorMSCICdnDiv"
XEF,"iShr CorMSCIEAFE IMI"
XFH,"iShrCrMSCI EAFEIMIHG"
XEC,"iShr Core EmrgMktIMI"
XDG,"iShr CorMSCI GlblDiv"
XDGH,"iShr CorGlbDivCA-Heg"
XDU,"iShr CoreMSCI US Div"
XDUH,"iShrCorUS DivCADHg"
XUS,"iShares CoreSP500Idx"
XSP,"iShares Core S&P 500"
XUU,"iShr CorS&P US MktUn"
XUH,"iShre CoreS&P US Mkt"
XIC,"iShr CoreSP/TSX Comp"
XTR,"iShare Divrs Mo Incm"
XMV,"iShr MSCI MinVolCda"
XMI,"iShare MSCIMinVlEAFE"
XML,"iShr EgMinVlEAFE C-H"
XMM,"iShr MinVol EmrgMkt "
XMW,"iShr MSCI MinVolGlbl"
XMY,"iShr EgMinVolGlb C-H"
XMU,"iShr MSCI MinVol USA"
XMS,"iShr EgMinVl USA C-H"
XFC,"iShr MSCIMultfactrCA"
XFI,"iShr MSCIMultfacEAFE"
XFF,"iShr MSCI EAFE CA-HG"
XFS,"iShrMSCIMultiftr USA"
XFA,"iShrMSCIMultiUSA C-H"
XFR,"iShares Fltg Rate Un"
XHC,"iShare Glbl Hlthcare"
XQB,"iShare HighCdnBnd Un"
XQB.A,"iShare HighCdnBnd Ad"
XID,"iShares India Idx Un"
XEB,"iShr JP USD Emrg Mkt"
XEN,"iShare Jantzi Social"
XIN,"iShare MSCI EAFE Idx"
XEM,"iShare MSCI EmergMkt"
XEU,"iShr MSCI EU IMI Idx"
XEH,"iShr MSCI EU IMI CAD"
XWD,"iShare MSCI World Un"
XQQ,"iShare NASDAQ 100 Un"
XCD,"iShare S&P CnsmrDscr"
XGI,"iShr SP Glbl Indstrl"
XMC,"iShr S&P US MidCapUn"
XMH,"iShr S&P USMdCpCADHG"
XIU,"iShares S&P/TSX60 Un"
XST,"iShares Consumr Stpl"
XEG,"iShares S&P/TSX Engy"
XFN,"iShares S&P/TSX Fins"
XIT,"iShares S&P/TSX Tech"
XMA,"iShare S&P/TSX Matrl"
XRE,"iShares S&P/TSX REIT"
XUT,"iShares S&P/TSX Util"
XMD,"iShr S&P/TSX Cmpletn"
XEI,"iShr S&P/TSX HiDivUn"
XBM,"iShr SP/TSXGblBseMtl"
XGD,"iShares S&P/TSX Gold"
XPF,"iShr S&PTSX NA PrStk"
XCS,"IShare SP/TSX SmlCap"
XSQ,"iShares ST CdnBnd Un"
XSI,"iShr ST StratgFxd Un"
XHU,"iShr US HiDiv EqtyUn"
XHD,"iShare US HighDiv Eq"
XHY,"iShares US HiYld Bnd"
XIG,"iShare US IG CorpBnd"
XSU,"iShares US Small Cap"
XMF.A,"M Split Corp. 14 Cap"
XMF.PR.B,"M Split Corp Cl 1 Pr"
XMF.PR.C,"M Split Corp 14-2 Pr"
XTD,"TDb Split Cl A"
XTD.PR.A,"TDb Split Prior Eqty"
X,"TMX Group Limited"
XTG,"Xtra-Gold Resource J"
XDC,"Xtreme Drilling J"
YCM,"Commerce Split Cap"
YCM.PR.A,"Commerce Split I Pr"
YCM.PR.B,"Commerce Split II Pr"
YXM,"1st Ast US Moment Un"
YXM.B,"1st AstUSMmntUnhegUn"
YRI,"Yamana Gold Inc."
YGR,"Yangarra Res Ltd."
YPG.DB,"Yellow Pages Dgtl Db"
Y,"Yellow Pages Limited"
Y.WT,"Yellow Pages Ltd. Wt"
YRB,"Yorbeau Resources J"
ZAG,"BMO AggregateBnd ETF"
ZDV,"BMO Cdn Dividend Un"
ZWC,"BMO Cdn HiDivCovCall"
ZCH,"BMO China Eq Idx ETF"
ZWB,"BMO Coverd CallCdnBk"
ZWA,"BMO DJ IndustAvg Un"
ZWU,"BMO CoverdUtility Un"
ZDB,"BMO Discount Bnd Un"
ZDJ,"BMO DJ IndAv Heg ETF"
ZEF,"BMO Em Mkt Bond HED"
ZEB,"BMO Eql Wgt Bank ETF"
ZMT,"BMO EqWgtGlbMtlHegCA"
ZGD,"BMO EqWght Glb Gold"
ZIN,"BMO EqWgtIndustrl Un"
ZEO,"BMO Eq WghtOil & Gas"
ZRE,"BMO Eql Wgt REITs Un"
ZUB,"BMO Eq Wgt US Banks"
ZBK,"BMO EqlWght US BkCAD"
ZUH,"BMO EqWgt US Health"
ZUT,"BMO Eql Wgt Util ETF"
ZWE,"BMO EU DivCovCal C-H"
ZFH,"BMO Fltg RtHi Yld Un"
ZGI,"BMO Gbl Infrastr ETF"
ZHY,"BMO HY US CrpHdg ETF"
ZJK,"BMO HiYldUS CorpBnd"
ZID,"BMO India Eq Idx ETF"
ZDI,"BMO Int'l Div CAD Un"
ZDH,"BMO Intl DivHg-CA Un"
ZJN,"BMO Junior Gas ETF"
ZJG,"BMO Junior Gold ETF"
ZJO,"BMO Junior Oil ETF"
ZPR,"BMO Laddered Pr Indx"
ZLC,"BMO Long Crp Bnd ETF"
ZFL,"BMO Lng Federal Bond"
ZPL,"BMO LngProvBndCad Un"
ZLB,"BMO Volatlty Cad Un"
ZLE,"BMO LwVoltyEqCAD Un"
ZLI,"BMO LowVolIntl Eq Un"
ZLD,"BMO LwVol IntlEq H-C"
ZLU,"BMO LwVltyUSEq CADUn"
ZLU.U,"BMO LwVltyUSEq US Un"
ZLH,"BMO LowVol US Eq H-C"
ZCM,"BMO Mid Crp Bond ETF"
ZFM,"BMO Mid Fed Bnd Indx"
ZMP,"BMO MidProvBnd CadUn"
