AW.UN,"A&W Revenue Rylty Un"
BRF.PR.E,"Brookfld Renew Pr 5"
BRF.PR.F,"Brookfld Renew Pr 6"
BSO.UN,"Brookfld Selct Oppor"
BSE.UN,"Brookfld Snd Eqty Un"
BSD.PR.A,"Brookfield Sndvst Pr"
BSD.UN,"Brookfld Sndvest Cap"
DOO,"BRP Inc. SV"
GPS,"BSM Tech Inc. J"
BTB.DB.E,"BTB REIT 6.9% E Deb"
BTB.DB.F,"BTB REIT 7.15% F Deb"
BTB.UN,"BTB REIT Un"
BUI,"Buhler Industries"
BU,"Burcon NutraSci J"
BK,"Cdn Banc Corp Cl 'A'"
BK.PR.A,"Cdn Banc Corp. Pr"
BCB,"Cott Corporation"
BXF,"1stAst 1-5GvtStBndUn"
BCI,"New Look Vision J"
BKL.C,"PowerShare SnrLoanCA"
BKL.F,"PwrShr SrLoan CAheg)"
BKL.U,"PowerShare SnrLoanUS"
BNC,"Purpose Cdn Fin Incm"
BND,"Purpose TacInvestBnd"
CAE,"CAE Inc."
CWL,"Caldwell Partners"
UDA.UN,"Caldwell US Div Un"
CAL,"Caledonia Mining Plc"
CFW,"Calfrac Well Serv"
CGY,"Calian Group Ltd."
CBL,"Callidus Cap Corp"
CCO,"Cameco Corporation"
CGAC.UN,"Canaccord Acq J A Un"
CF,"Canaccord Genuity"
CF.PR.A,"Canaccord Gen A Pr"
CF.PR.C,"Canaccord Gen C Pr"
CNE,"Canacol Energy J"
GOOS,"Cda Goose Hldgs SV"
CPF.UN,"Cdn 50 Advan Pref Un"
CAR.UN,"Cdn Apartment Tr Un"
BK,"Cdn Banc Corp Cl 'A'"
BK.PR.A,"Cdn Banc Corp. Pr"
CCI.UN,"Cdn Convert Plus Un"
CCX,"Cdn Crude Oil Idx Un"
CGI,"Canadian General Inv"
CGI.PR.D,"Cdn General 3.75% Pr"
CIQ.UN,"Cdn High Incm Eq Un"
CM,"Cdn Imperial Bank"
CM.PR.O,"Cdn Imp Bk Ser 39 Pr"
CM.PR.P,"Cdn Imp Bk Ser 41 Pr"
CM.PR.Q,"Cdn Imp Bk Ser 43 Pr"
CM.PR.R,"Cdn Imp Bk Ser 45 Pr"
RIGP.UN,"Cdn Invest GrdPref T"
LFE,"Cdn Life Co Split A"
LFE.PR.B,"Cdn Life CoSplt Pr12"
CNR,"Cdn Nat'l Railway"
GAS,"Cdn Natrl Gas Idx A"
CNQ,"Canadian Natural Res"
CP,"Cdn Pacific Railway"
PFT.UN,"Cdn Preferred Shr Un"
REF.UN,"Cdn Real Estate Un"
RTU.UN,"Cdn Resources Tr Un"
CTC,"Canadian Tire Corp"
CTC.A,"Canadian Tire A NV"
UTE.UN,"Cdn Util & Tel FndUn"
CU,"Cdn Utilities A NV"
CU.PR.C,"Cdn Util 2nd Pr Y"
CU.PR.D,"Cdn Util 2nd Pr AA"
CU.PR.E,"Cdn Util 2nd Pr BB"
CU.PR.F,"Cdn Util 2nd Pr CC"
CU.PR.G,"Cdn Util 2nd Pr DD"
CU.PR.H,"Cdn Util 2nd Pr EE"
CU.PR.I,"Cdn Util 2nd Pr FF"
CU.X,"Cdn Utilities Cl B"
CWB,"Cdn Wstrn Bank"
CWB.PR.B,"Cdn Wstrn Bk Sr 5 Pr"
CWB.PR.C,"Cdn Wstrn Bk Sr 7 Pr"
CWF,"Cdn World Fund Ltd"
CZN,"Cdn Zinc Corp. J"
CCM,"Canarc Resource J"
DNT,"Candente Copper J"
CFP,"Canfor Corporation"
CFX,"Canfor Pulp Products"
ICE,"Canlan Ice Sports"
CMED,"CanniMed TherapeutcJ"
EIT.PR.A,"Canoe EIT Incm4.8 Pr"
EIT.UN,"Canoe EIT Income Un"
WEED,"Canopy Grwth Corp J"
PBY.UN,"Canso Credit A Un"
SCW.UN,"Canso Slct Oppor Un"
CWX,"CanWel Building Grp"
CPX,"Capital Power Corp."
CPX.PR.A,"Capital Pwr Ser 1 Pr"
CPX.PR.C,"Capital Pwr Ser 3 Pr"
CPX.PR.E,"Capital Pwr Ser 5 Pr"
CPX.PR.G,"Capital Pwr Ser 7 Pr"
CPX.PR.I,"Capital Pwr Ser 9 Pr"
CSE.PR.A,"Capstone Infr Pr A"
CS,"Capstone Mining J"
CARA,"Cara Operations SV"
CJ,"Cardinal Energy J"
CJ.DB,"Cardinal Engy J Deb"
CDV,"Cardinal Res J Ord"
COM,"Cardiome Pharma Corp"
CJT,"Cargojet Inc."
CJT.A,"Cargojet Inc. VV"
CJT.DB.C,"Cargojet Inc 4.65%Db"
CUP.U,"Caribbean Ut Cl A US"
CMH,"Carmanah Tech Corp."
CAS,"Cascades Inc."
CET,"Cathedral Engy Serv"
CCL.A,"CCL Industries Cl A"
CCL.B,"CCL Industries Cl B"
CLS,"Celestica Inc SV"
CVE,"Cenovus Energy Inc."
CEE,"Centamin plc. Ord"
CG,"Centerra Gold Inc."
CEF.A,"Central Fund Cl A NV"
CEF.U,"Central Fund A NV US"
CHH,"Centric Health J"
CNT,"Century Glbl Cmdty J"
CQE,"Cequence Energy Ltd."
CRP,"Ceres Global Ag Corp"
CERV,"Cervus Equipment"
CEU,"CES Energy Solutn"
GIB.A,"CGI Group Cl A SV"
CXN,"Chalice Gold Ord J"
CIA,"Champion Iron Ord J"
CSH.UN,"Chartwell Retire Un"
CHE.DB.B,"Chemtrade Lgst5.25Db"
CHE.DB.C,"Chemtrade Lgst 5% Db"
CHE.DB.D,"Chemtrade Lgst4.75Db"
CHE.UN,"Chemtrade Logistc Un"
CHW,"Chesswood Group Ltd."
CHW.DB,"Chesswood Grp 6.5 Db"
CGG,"China Gld Intl Res J"
CKE,"Chinook Energy Inc."
CHP.UN,"Choice Ppty REIT Un"
CHR,"Chorus Aviation V&VV"
CIX,"CI Financial Corp."
MBA,"CIBT Education Grp J"
CGX,"Cineplex Inc."
CGX.DB.A,"Cineplex Inc 4.5% Db"
CPH,"Cipher Pharma J"
CTF.UN,"Citadel Incm Fund Un"
CVG,"Clairvest Group Inc"
CKI,"Clarke Inc."
CSM,"ClearStream Energy"
CSM.DB.A,"Clearstream 10% Deb"
CLR,"Clearwater Seafoods"
CNU,"CNOOC Limited ADRs"
CCS.PR.C,"Co-operators Sr C Pr"
CCA,"Cogeco Commun Inc SV"
CGO,"Cogeco Inc. SV"
GCL,"Colabor Group Inc."
GCL.DB.A,"Colabor Grp 6% Deb"
CIGI,"Colliers Intl Grp SV"
CGT,"Columbus Gold Corp J"
CUF.UN,"Cominar Real Est Un"
YCM,"Commerce Split Cap"
YCM.PR.A,"Commerce Split I Pr"
YCM.PR.B,"Commerce Split II Pr"
CMG,"Computer Modelling J"
CONA,"Cona Resources Ltd."
CXR,"Concordia Int'l J"
CPI,"Condor Petroleum J"
CFF,"Conifex Timber Inc."
CSU,"Constellation Softwr"
CSU.DB,"Constellation Deb 1"
CNL,"Continental Gold J"
CNL.WT.A,"Continental A Wt J"
CMMC,"Copper Mountain J"
CSW.A,"Corby Spirit&Wine A"
CSW.B,"Corby Spirit&Wn B NV"
CDD.UN,"Core Cdn Dividend Un"
COP,"Coro Mining Corp. J"
CDH,"Corridor Resources"
CJR.B,"Corus Entertnmnt B"
KOR,"Corvus Gold Inc. J"
BCB,"Cott Corporation"
PATH,"CounterPath Corp. J"
PMTS,"CPI Card Group Inc."
CPG,"Crescent Point Corp."
CTX,"Crescita Therpeutc J"
CR,"Crew Energy Inc."
CRH,"CRH Medical Corp. J"
CCZ,"Critical Control J"
CCZ.PR.A,"Critical Control Pr"
KWH.UN,"Crius Energy Tr Un"
CRR.DB.E,"Crombie REIT 5.25 Db"
CRR.UN,"Crombie Real Est Un"
CWI,"Crosswinds Hldgs J"
CRWN,"Crown Cap Partners J"
CRT.UN,"CT Rl Est Invest Un"
CIU.PR.A,"CU Inc. Pr Ser 1"
CIU.PR.C,"CU Inc. Pr Ser 4"
CXI,"Currency Exch Intl J"
CYB,"Cymbria Corp Cl A NV"
CAPS,"Evolve Actv US EqHeg"
CAPS.B,"EvolveActvUS EqUnheg"
CARS,"Evolve AutoInnov Heg"
CARS.B,"Evolve AutoInnovUnHg"
CYBR,"Evolve CybrSec Heg"
CYBR.B,"Evolve CybrSecUn-Heg"
CALL,"EvolveUS BkEnhYldHeg"
CALL.B,"EvolveUS BkEnhYldUhg"
CXF,"1st Asset ConvBnd Un"
CIC,"1st Ast CanBanc Incm"
CED,"1st AstCoreCdn Eq Un"
CSY,"First AsstCoreCdn Eq"
CES,"1st AstCoreUSEqtC$Un"
CES.B,"1st AstCoreUSEqC$U-H"
CES.U,"1st AstCoreUS$U-H Un"
CAN,"Horizn CdnDolr Cur A"
CBH,"iShre 1-10CorpBnd Un"
CBH.A,"iShre 1-10CorpBnd Ad"
CLG,"iShre 1-10GovtBnd Un"
CLG.A,"iShre 1-10GovtBnd Ad"
CBO,"iShre 1-5 CorpBnd Un"
CBO.A,"iShre 1-5CorpBnd Ad"
CLF,"iShre 1-5 GovtBnd Un"
CLF.A,"iShre 1-5 GovtBnd Ad"
CBN,"iShares GrowCore Un"
CBN.A,"iShares GrowCore Adv"
CBD,"iShares IncmCore Un"
CBD.A,"iShares IncmCore Adv"
CVD,"iShares ConvBond Un"
CVD.A,"iShares ConvBond Adv"
